DATE,LREM64TTUSM156S
1983-01-01,65.3478764412954
1983-02-01,65.2359912634656
1983-03-01,65.1874853332224
1983-04-01,65.2718194791477
1983-05-01,65.217135914491
1983-06-01,65.9412487759671
1983-07-01,66.2482136606678
1983-08-01,66.4516107259948
1983-09-01,66.6358908422756
1983-10-01,66.5688473514724
1983-11-01,66.9812413108
1983-12-01,67.1315462182803
1984-01-01,67.2233658001269
1984-02-01,67.580099195358
1984-03-01,67.6661773352724
1984-04-01,67.8482997124897
1984-05-01,68.312301515644
1984-06-01,68.5659672235413
1984-07-01,68.4131660958968
1984-08-01,68.224986355429
1984-09-01,68.3406293197823
1984-10-01,68.3806580200225
1984-11-01,68.5231656349906
1984-12-01,68.6059215521405
1985-01-01,68.7202300786914
1985-02-01,68.8196860114842
1985-03-01,69.012209966235
1985-04-01,68.950292885327
1985-05-01,68.9373294128484
1985-06-01,68.6540629081487
1985-07-01,68.8279785949858
1985-08-01,68.9698928826552
1985-09-01,69.2222021549398
1985-10-01,69.2577801159466
1985-11-01,69.2937835992211
1985-12-01,69.3420303435435
1986-01-01,69.4637738999706
1986-02-01,69.2460370904822
1986-03-01,69.4185084731408
1986-04-01,69.3623354171263
1986-05-01,69.419797961417
1986-06-01,69.714206890442
1986-07-01,69.7819985449128
1986-08-01,69.8832781611293
1986-09-01,69.853052592674
1986-10-01,69.9746976826686
1986-11-01,69.9680370380579
1986-12-01,70.0959007600281
1987-01-01,70.1630850499894
1987-02-01,70.2892049461393
1987-03-01,70.3216778702031
1987-04-01,70.4990616358004
1987-05-01,70.8083080583893
1987-06-01,70.5857076956042
1987-07-01,70.7935178513271
1987-08-01,70.9990891866144
1987-09-01,70.9154475397816
1987-10-01,71.10611081621
1987-11-01,71.1643877569413
1987-12-01,71.2955044493011
1988-01-01,71.3207717485726
1988-02-01,71.3798130012213
1988-03-01,71.2707435699591
1988-04-01,71.5292161307372
1988-05-01,71.3310353940106
1988-06-01,71.589331945958
1988-07-01,71.6815310144412
1988-08-01,71.8011892546298
1988-09-01,71.8121094832777
1988-10-01,71.9367943778691
1988-11-01,72.0351711331666
1988-12-01,72.1074536583361
1989-01-01,72.2770306592018
1989-02-01,72.3040851523971
1989-03-01,72.4109829719125
1989-04-01,72.3592618677191
1989-05-01,72.3898812032118
1989-06-01,72.5834598279276
1989-07-01,72.5971516674887
1989-08-01,72.7036282220872
1989-09-01,72.4773565525358
1989-10-01,72.5690401621203
1989-11-01,72.7247471269725
1989-12-01,72.5732425061436
1990-01-01,72.4894370860495
1990-02-01,72.4675952602569
1990-03-01,72.5123169464382
1990-04-01,72.323203884924
1990-05-01,72.5013913778077
1990-06-01,72.4270697110809
1990-07-01,72.2828403384272
1990-08-01,72.1197633883994
1990-09-01,71.9482909626434
1990-10-01,71.9459666027128
1990-11-01,71.6045831526851
1990-12-01,71.5698303148913
1991-01-01,71.3589892849356
1991-02-01,71.1839335619443
1991-03-01,71.0376608477131
1991-04-01,71.2249799950624
1991-05-01,70.8550797894149
1991-06-01,71.0325785743732
1991-07-01,70.9854528910323
1991-08-01,70.7641821301848
1991-09-01,70.9711790157078
1991-10-01,70.843834527843
1991-11-01,70.7136065832836
1991-12-01,70.5589589977143
1992-01-01,70.8247895788357
1992-02-01,70.64509161631
1992-03-01,70.695130534175
1992-04-01,70.8589650504472
1992-05-01,70.8121962755364
1992-06-01,70.9571042731042
1992-07-01,71.1200111607473
